speaker,sentence_id,word_count,reference,hypothesis,evaluation_label
S01C002V1_2LG,(S01C002V1_2LG-words),78,water,watter,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,ma,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,mevrouw,mevrouw,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,,de,I
S01C002V1_2LG,(S01C002V1_2LG-words),78,drogen*(dronken),gonken,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,winkel,winkel,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,auto,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,outo,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,oud,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,schouders,erschouders,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,verhaal,verhaal,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,koning,koning,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,hoe,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,moeilijk,o,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,ke,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,mel,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,ke,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,heel,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,laat,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,speelplaats,speelplaats,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,drinken,drinken,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,hoofdpijn,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,hoofdijn,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,hooftijn,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,regen,gigen,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,va,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,ligtuig-,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,vliegtuig,vliegtuig,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,stoppen,stoppen,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,opnieuw,opnieuw,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,gooien,goeien,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,sneeuwen,sneeuwen,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,moeder,moeder,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,liedje,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,,D
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,litje,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,potlood,pooloot,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,fietsbel,potloot,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,vinger,fiets,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,wel,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,winder,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,*,dia,S
S01C002V1_2LG,(S01C002V1_2LG-words),78,dichtbij,dichtbij,C
S01C002V1_2LG,(S01C002V1_2LG-words),78,meisje,,D
